This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"elizabethdcoook","Big things comin in the near future with me and my lova 💙😉","Fri Nov 04 01:09:09 +0000 2016","Shiloh, NC","null","North Carolina, USA"
"LL_Big_B","@belovedbyKRISS you a teacher too 😟","Fri Nov 04 01:09:10 +0000 2016","Polk✈Atlanta✈Skegee","null","Union City, GA"
"AJSanson1","@CharlieRudder https://t.co/KGyxVHHcay","Fri Nov 04 01:09:10 +0000 2016","Atlanta/Brookhaven","null","Chamblee, GA"
"toniwoniii","@Kvng__ja3 who are you again?","Fri Nov 04 01:09:11 +0000 2016","null","null","Georgia, USA"
"Infomedia24hrs","#REVISTAS 🇪🇸 #VOGUE Noviembre 2016 PDF https://t.co/qxn41HQ9HN   #JuevesIntratable  #JuevesDeGanarSeguidores -… https://t.co/uXOXlrgum8","Fri Nov 04 01:09:11 +0000 2016","Buenos Aires - Argentina","null","Carolina del Norte, USA"
"bretanaj","🌸- I use to hate yo ass😂😂 but you cool and cute afffff😍","Fri Nov 04 01:09:12 +0000 2016","Atlanta, GA","null","Georgia, USA"
"mlh_00","If the donkey and the lamb are tempting you, seek for the lamb. In this case, has anyone seen an… https://t.co/sB7igQSd5q","Fri Nov 04 01:09:13 +0000 2016","Smithfield, NC","[object Object]","North Carolina, USA"
"Jennastapp_",""My body is a canvas &amp; I will decorate with all the things I love"","Fri Nov 04 01:09:13 +0000 2016","LaGrange, Georgia","null","Georgia, USA"
"Laura722","@MitchFan lol not for me. I don't like anything Chad &amp; Gabi.","Fri Nov 04 01:09:13 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"CamsInPdx","These bitches from the bay really think they the shit","Fri Nov 04 01:09:13 +0000 2016","Jacksonville, NC","null","North Carolina, USA"
"bowlinbob","@ohhmar KD in his head even before the game starts..","Fri Nov 04 01:09:14 +0000 2016","Dallas, GA","null","Georgia, USA"
"ErinCid","sc- you're the best omg","Fri Nov 04 01:09:15 +0000 2016","ga","null","Georgia, USA"
"MrzGigglez20","Lmao matt an jeff #IMPACTonPOP","Fri Nov 04 01:09:15 +0000 2016","in my unstable mind,NC","null","North Carolina, USA"
"garymacmarietta","Core Hazelnut Brown Ale now available on tap. https://t.co/cIKQf1DmFr @corebrewery #BeerMenus","Fri Nov 04 01:09:15 +0000 2016","15 Atlanta St., Marietta, GA","[object Object]","Marietta, GA"
"rikemohome","Love This Set.  https://t.co/ppWeh5LCF0","Fri Nov 04 01:09:15 +0000 2016","Atlanta","null","Atlanta, GA"
"_xxqg","me on my own though 💁🏽","Fri Nov 04 01:09:15 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"abbymckenziesm","I freaking love you b!!!😚😚 https://t.co/9Sri69Gnjz","Fri Nov 04 01:09:17 +0000 2016","null","null","Georgia, USA"
"jmj4life7","NOT EVERYONE r fluent in English, others have yet 2 cross the border, refugees not here yet, others are dead folks,… https://t.co/tI1blvYrRW","Fri Nov 04 01:09:17 +0000 2016","usa","null","Georgia, USA"
"aaroncooper__","@zoe_suhr "is Islam a country?"","Fri Nov 04 01:09:18 +0000 2016","G.Co","null","Tucker, GA"
"PrototypeCeNa","I don't smoke but I wanna try lmaooooo","Fri Nov 04 01:09:18 +0000 2016","Atlanta, GA","null","Georgia, USA"
"GOOD_VIBES04","Bird ! https://t.co/2EYEF7nhVn","Fri Nov 04 01:09:21 +0000 2016","706/334✈️","null","Georgia, USA"
"OMG_Its_MrC","I'm logging off now 😩 https://t.co/V2NlEdMPLJ","Fri Nov 04 01:09:21 +0000 2016","910 ","null","North Carolina, USA"
"morgan_taylor15","@Isham3110 hahaha 😂","Fri Nov 04 01:09:22 +0000 2016","Ranburne, Al","null","Georgia, USA"
"MorbidMaddi","I will order a mermaid blanket for me and my bff","Fri Nov 04 01:09:22 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"_ChancesAreSlim","Manda going in on Carlos....lol","Fri Nov 04 01:09:22 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"RossyJonesy","Bye America...","Fri Nov 04 01:09:22 +0000 2016","Huntsville, AL","null","Georgia, USA"
"MTK_TMK","Was disrespect something crazy yesterday so I ran over a cat today .","Fri Nov 04 01:09:24 +0000 2016","ATL Hoe","null","Georgia, USA"
"TrillaryBlinton","Kryssie has some nerve. You're only here because they're bigger fish to fry. Shut the hell up before I nominate you for 3rd nom. #BBOTT","Fri Nov 04 01:09:24 +0000 2016","Atlanta, GA","null","Atlanta, GA"
