This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Fri Nov 04 2016 20:56:57 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"gnomepuppet","Solution to PMS---the Notebook","Sat Nov 05 00:57:23 +0000 2016","null","null","Atlanta, GA"
"lyonslifts20","Not a lot of people are cubs fans https://t.co/Y5PPbh093Z","Sat Nov 05 00:57:23 +0000 2016","Georgia, USA","null","Georgia, USA"
"khinkleiii","@costareports @Ja_Ma_Ea a lot of flushing #GopSwamp","Sat Nov 05 00:57:24 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"DannyUkpong","Nikola wow","Sat Nov 05 00:57:25 +0000 2016","Morrow, GA","null","Morrow, GA"
"Drew_Wms","@ngelaPowers feel ya!","Sat Nov 05 00:57:26 +0000 2016","the ATL","null","Georgia, USA"
"marsssbarss","Am I the only one who puts certain contacts on DND after they do dumb shit","Sat Nov 05 00:57:26 +0000 2016","rva ✈️ atl","null","Atlanta, GA"
"GailCroceSturm","#RememberWhenTrump https://t.co/5hN76QAnXn","Sat Nov 05 00:57:26 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"hamiltoakIey","IS THIS REAL OHMYM GFO https://t.co/kQ3QZqgo69","Sat Nov 05 00:57:28 +0000 2016","feminist | queer | she/her","null","Georgia, USA"
"DaryllTweets","Parents just came in clutch asf! I can still get ticked up next weekend! Woohoooooo!!!!!!!","Sat Nov 05 00:57:28 +0000 2016","Atlanta, GA","null","Georgia, USA"
"yunangel1","I know she misses me.","Sat Nov 05 00:57:30 +0000 2016","null","null","Atlanta, GA"
"mambomoondog","@Agent00stallion Thank you!!","Sat Nov 05 00:57:30 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"fishpayton","@realDonaldTrump @WSJ two pieces of sh#t. Need to flush the toilet","Sat Nov 05 00:57:30 +0000 2016","Elberton Ga","null","Georgia, USA"
"pentalupi_dhpjr","Finalmente alguien lo ha dicho: late term abortions https://t.co/3R7eTWz2qm","Sat Nov 05 00:57:30 +0000 2016","null","null","Georgia, USA"
