This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Mon Nov 07 2016 20:05:15 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"NIC_CARTEL","Ive been drunk for 5 days... I'll sober up after 7pm tomorrow. #ElectionFinalThoughts #GoVote","Tue Nov 08 01:05:19 +0000 2016","San Jose, CA","null","Georgia, USA"
"StephenBlack123","Hopefully 2017 will be the year I find true peace and happiness.. Less negatives more positives","Tue Nov 08 01:05:20 +0000 2016","E-City North Carolina ","null","North Carolina, USA"
"leighannaudet","😌🙌🏼😍 https://t.co/GH26fVCQRs","Tue Nov 08 01:05:20 +0000 2016","North Carolina ⚓️","null","North Carolina, USA"
"clarghtyy","all the ups all the downs
all the petty concerns
my whole world's imploding
i can't find the words
cause the truth is....i'm fucked up","Tue Nov 08 01:05:20 +0000 2016","south carolina& north carolina","null","North Carolina, USA"
"_SlayMeRavyn","Me https://t.co/x4bPGj0Qdc","Tue Nov 08 01:05:20 +0000 2016","ga.state, ATL ","null","Atlanta, GA"
"SharaLashea_","My feelings get hurt when my time is invested so be real from the jump and we will never have a problem","Tue Nov 08 01:05:20 +0000 2016","Louisville✈️ATL","null","Georgia, USA"
"giltykiss","GAYS","Tue Nov 08 01:05:21 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"Rolled_Blunts","Yes 😔 https://t.co/UIF6k4HB5R","Tue Nov 08 01:05:22 +0000 2016","null","null","Georgia, USA"
"BizerkJerk","Moniece did give looks this season.","Tue Nov 08 01:05:22 +0000 2016","ATL","null","Georgia, USA"
"Itsjulibtw","My motto: when it hurts, get angry, and push harder","Tue Nov 08 01:05:23 +0000 2016","North Carolina","null","North Carolina, USA"
"TarN8tion","👇🏻🔥🔥🔥🔥🔥🔥👇🏻 https://t.co/69rUHi2HLn","Tue Nov 08 01:05:24 +0000 2016","Nation of Tar Heel #Relentless","null","North Carolina, USA"
"__siannaa","As I look back I really only had 1 real boyfriend tbhhh and In total I had 2 frfrfr 💯 and the second one was in 8 grade saddd lol","Tue Nov 08 01:05:25 +0000 2016","null","null","Panthersville, GA"
"IamRobyn_","I better not see no " Morehouse niggas ain't shit" tweets because he fucked you and sent you back to yo campus 😭😭","Tue Nov 08 01:05:26 +0000 2016","Somewhere being problematic","null","Atlanta, GA"
"Scott96264550","@UofLRecruiting1 big time? He's a 3 star... lol","Tue Nov 08 01:05:26 +0000 2016","You Know","null","Georgia, USA"
"_kayjonae","i want this puppy 😩😩😩 https://t.co/6cPKvx2Fl9","Tue Nov 08 01:05:26 +0000 2016","Madison, GA","null","Georgia, USA"
"StilesCuteFace","#Raw lets get it!","Tue Nov 08 01:05:27 +0000 2016","Outer Banks, NC","null","North Carolina, USA"
"yesenia_rod95","When you go to your best friends job and a guy thinks you're cute so they give them your number 😭😤🙄","Tue Nov 08 01:05:28 +0000 2016","null","null","Georgia, USA"
"TheAceFord","@rick_bonnell Took an elbow to the temple from George on 3rd foul","Tue Nov 08 01:05:27 +0000 2016","High Point, North Carolina","null","North Carolina, USA"
"trippymikkyy","🙂🖕🏼 https://t.co/rAqUCqc37k","Tue Nov 08 01:05:28 +0000 2016","null","null","Georgia, USA"
"katdollvz","if you not the nigga im fucking wit you getting the cold shoulder, sorrynotsorry🤗","Tue Nov 08 01:05:28 +0000 2016","College Park, GA","null","Georgia, USA"
"aaliyahhwright","@kamerynadams while your at states 🤔😂","Tue Nov 08 01:05:30 +0000 2016","null","null","North Carolina, USA"
"mmcdaniel_","this one person 😍😭😛","Tue Nov 08 01:05:30 +0000 2016","United States","null","Georgia, USA"
"MikeGotJuice_","Steve: Who's the last person you lied to?

Guy: My wife 

Me: Damn I hope that money is worth all the hell he gon catch on the ride home","Tue Nov 08 01:05:32 +0000 2016","null","null","Georgia, USA"
"giltykiss","THEY BRIKE UP PLEASE","Tue Nov 08 01:05:33 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"BasedBoyLarry","@JamalOktane but I thought Lil B was trash bruh???? Ion see niggas gettin lit like this to Kodak Trash ass https://t.co/thYYM2ZmPE","Tue Nov 08 01:05:33 +0000 2016","hell ","null","Georgia, USA"
"Queenoftherot","Pre-gaming in your 40's. Haha! Date night with the hubby. #eastatlanta #pizza #tattoos #loveyoualways https://t.co/lYPrGMMQPN","Tue Nov 08 01:05:33 +0000 2016","Atlanta","null","Atlanta, GA"
"iamkelleewilson","😂😂 https://t.co/ynpdnUYyxs","Tue Nov 08 01:05:34 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"monteiro_chance","What happens come December","Tue Nov 08 01:05:34 +0000 2016","null","null","North Carolina, USA"
"lambtowngirl","@ATT @ATTCares So y'all still actin like you don't know me???🌚 https://t.co/bLQ5ylOfEQ","Tue Nov 08 01:05:35 +0000 2016","Atlanta, GA","null","Georgia, USA"
"Rolled_Blunts","Red &amp; Black https://t.co/A7h3BdHVaQ","Tue Nov 08 01:05:36 +0000 2016","null","null","Georgia, USA"
"PoloDrewSwarts","Business in the front party in the back. Jesus Christ why do I have a mullet https://t.co/gbUSQaVmLI","Tue Nov 08 01:05:36 +0000 2016","Clayton, NC","null","North Carolina, USA"
"thadthegod","lmaoooo https://t.co/m4e0F01M8n","Tue Nov 08 01:05:39 +0000 2016","Atlanta, GA","null","Georgia, USA"
"SunnyDeeeeLight","Being a bitch, rude, or mean is not cute ladies.","Tue Nov 08 01:05:40 +0000 2016","Decatur","null","Atlanta, GA"
"jocelynnn___","i had to make a couple bands by my lonely","Tue Nov 08 01:05:41 +0000 2016","Bowdon, GA","null","Georgia, USA"
"AAsbeury","i am never giving up on my dreams☄️ #stevienicks #24karatgoldtour @ Phillips Arena https://t.co/8UH4br6QAU","Tue Nov 08 01:05:41 +0000 2016","Georgia, USA","[object Object]","Atlanta, GA"
"gennilovescheez","Brian Barker for president https://t.co/0ec3ZNpC7e","Tue Nov 08 01:05:42 +0000 2016","ur dads heart","null","Georgia, USA"
"Suave1974","@M0NTESAN0 don't matter,they made the necessary adjustments to win the game,and held y'all scoreless..with about 100 and something t.offense","Tue Nov 08 01:05:42 +0000 2016","null","null","North Carolina, USA"
"Barshjb","😳😳😳","Tue Nov 08 01:05:43 +0000 2016","null","null","Georgia, USA"
"The_JohnnyBeard","Lord please let pirate ride bus be running. I'm not trying to walk from campus all the way back to pirates place","Tue Nov 08 01:05:45 +0000 2016","[H.A.P]","null","North Carolina, USA"
"nikkidammit","the real "get you a man who can do both" 😹😹 https://t.co/sGJsBWZyJh","Tue Nov 08 01:05:44 +0000 2016","Ga, USA. nigga ","null","Georgia, USA"
"Chewning_","And Aliens built the pyramids","Tue Nov 08 01:05:45 +0000 2016","Locust Grove, GA","null","Georgia, USA"
