This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)   35.9, 33.1, 37.4, 36.3Starting at this date and time  Fri Nov 04 2016 08:34:50 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"Cathy919","#KissMay is real 

#PBBKuyasElves https://t.co/zx1D6EHeSr","Fri Nov 04 12:34:54 +0000 2016","Lebanon","null","Lebanon"
"rassednews","#لبنان - النائب #أنور_الخليل بعد اجتماع كتلة التنمية مع #الحريري: اللقاء كان صريحًا ومفيدًا ومنتجًا","Fri Nov 04 12:34:55 +0000 2016","Lebanon","null","Lebanon"
"royalhaircenter","نتائج مضمونة مدى الحياة مع #رويال_هير
 للتواصل00905353208585
#لماذا_نصمت #اربح_iphone7_مع_العبداللطيف_5 #يوم_الجمعه https://t.co/1KEHTurvPg","Fri Nov 04 12:35:11 +0000 2016","تركيا / اسطنبول","null","المملكة الأردنية الهاشمية"
"Almustaqbal","كرامي بارك للحريري: المطلوب حصة وازنة لطرابلس
https://t.co/yWQUGr2snQ","Fri Nov 04 12:35:13 +0000 2016","Lebanon","null","Lebanon"
"rassednews","#لبنان - #الخليل: طالبنا بأن يكون توزيع الحقائب الوزارية عادلًا بين الكتل","Fri Nov 04 12:35:14 +0000 2016","Lebanon","null","Lebanon"
"muratgunes_","Vatan Partisi'nden operasyon açıklaması: Kimsenin Türkiye’nin altına mayın döşeme, Türkiye’yi bölme özgürlüğü yoktur https://t.co/WjaRfYrVBN","Fri Nov 04 12:35:16 +0000 2016","İstanbul, Türkiye","null","Türkiye"
"imSuhaib","@iAhmadku 

ما أقيّم بناءً على تقييم الناس، أقيّم بنفسي","Fri Nov 04 12:35:21 +0000 2016","République Libanaise","null","Lebanon"
"MaxOfArabia","English translation below 👇🏻👇🏽👇🏿
خمس سنين مرت على الحرب في سوريا .. وهالاطفال البريئين ما ذاقو… https://t.co/yKzeZzg7Iw","Fri Nov 04 12:35:47 +0000 2016","UAE - DXB","[object Object]","Mafraq, Hashemite Kingdom of Jordan"
"Load4UAE","https://t.co/qwD4DmvKLj is in the big final @BDLaccelerate in #Beirut GOOD LUCK to all the teams #BDLA16 #LoadMe https://t.co/CG0vGpvNEh","Fri Nov 04 12:35:48 +0000 2016","Dubai","null","Lebanon"
"gurselozcan","@kilicdarogluk  la oğlum Allah'ını seversen bir sus!!

Evlat olsan sevilmezsin!!!","Fri Nov 04 12:35:50 +0000 2016"," Erzurum","null","Türkiye"
"ALJADEEDNEWS","مكاري: "بعتقد ما بقى تشوفوني"!
https://t.co/WlLGTJSGQ4 https://t.co/5Culq4zqEF","Fri Nov 04 12:36:05 +0000 2016","Beirut, Lebanon","null","Lebanon"
"nouma_ahmar","@najwakaram natriiiinek 🙌💃🌸","Fri Nov 04 12:36:08 +0000 2016","Lattakia, Syria","null","Syria"
