This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Tue Nov 08 2016 07:40:50 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"Corey_Frizzell","@janeledwell @GuardianTeresa I'm not certain but I think plebiscite elx are usually low: 30% historically worldwide? Sim to muni elx.","Tue Nov 08 12:40:48 +0000 2016","Cornwall, PEI, Canada","null","Charlottetown, Prince Edward Island"
"AshleyIzbicki","Line at Brennan Elementary. Send us your #ElectionDay pictures of what you're seeing @wltx https://t.co/N5xgOtrUIw","Tue Nov 08 12:40:48 +0000 2016","Columbia, South Carolina","null","South Carolina, USA"
"BoydTabi","MY FOOT HURTS SO BADDDDD","Tue Nov 08 12:40:48 +0000 2016","null","null","Oklahoma, USA"
"__Moraa__","😂😂😂😂😂😂😂😂 https://t.co/37zCJUgpRv","Tue Nov 08 12:40:48 +0000 2016","null","null","Staten Island, NY"
"johncsmith88","@BullCityVA this is why @Bojangles1977 needs a Duffman like the Simpsons to hand biscuits out to voters and volunteers #ElectionDay","Tue Nov 08 12:40:48 +0000 2016","Raleigh, North Carolina ","null","Garner, NC"
"solomonsminds","Election Day. Let your voice be heard. VOTE! #atlanta #bahamians #november8 #election2016… https://t.co/PDg4QBuNaH","Tue Nov 08 12:40:48 +0000 2016","ATL:BAHAMAS","[object Object]","Georgia, USA"
"NaomiPescovitz","Haha newspeople talk. :) https://t.co/IRB5rNaRKS","Tue Nov 08 12:40:48 +0000 2016","Indianapolis, IN","null","Indianapolis, IN"
"KyliTaylor","blessed 😌","Tue Nov 08 12:40:48 +0000 2016","Decatur, GA","null","Georgia, USA"
"MichaelMWalter","#myvote2016 is for @EdForSheriff . Common sense principles and a man of great integrity will help keep Harris County safe. And I'm an R!","Tue Nov 08 12:40:49 +0000 2016","Houston, Texas","null","Houston, TX"
"Honeybeeontime","#ElectionDay #iVoted #imwithher https://t.co/USKf7WzdaN","Tue Nov 08 12:40:49 +0000 2016","null","null","Philadelphia, PA"
"justin_mccall11","Walking down the street hand in mine","Tue Nov 08 12:40:49 +0000 2016","null","null","Jamestown, NC"
"TheSymbioteHope","@otepofficial 🎈🎂Happy Birthday🎂🎈to one of the greatest activists of our time","Tue Nov 08 12:40:49 +0000 2016","DarkThorn Earth","null","Virginia, USA"
"oohkarajo","Election day induces anxiety for many of us. This election, we will fear no evil, for our God is with us. He stands in the fire beside us.","Tue Nov 08 12:40:49 +0000 2016","null","null","Knoxville, TN"
"215alexb","https://t.co/jrHTHR6fHX","Tue Nov 08 12:40:49 +0000 2016","Philadelphia, PA","null","Philadelphia, PA"
"haileyearlene","Why do Christians get so offended over music during elections like Courtney didn't I see you throw that ass in a circle last Saturday ???","Tue Nov 08 12:40:49 +0000 2016","Georgetown College","null","Georgetown, KY"
"BaileyOsborneee","@Taylor_Hxx I said she was a scumbag...","Tue Nov 08 12:40:49 +0000 2016","null","null","Ohio, USA"
"tchinmusick","Be at #peace because the Trinity is not having an emergency meeting right now hoping things to Their way.","Tue Nov 08 12:40:49 +0000 2016","Baltimore, MD","null","Baltimore, MD"
"wlabovitz","First time I've seen a line of voters in the morning outside the Hoover polling place in Lebo. Great for the Hoover… https://t.co/wb6Dewv9sd","Tue Nov 08 12:40:48 +0000 2016","Pittsburgh / Mt. Lebanon, PA","null","Hoover Elementary School"
"rhondawfleming1","@seanhannity https://t.co/D9HlNuQAmr","Tue Nov 08 12:40:49 +0000 2016","null","null","Yadkinville, NC"
"LindsayWMN","@RTurcoABC6 haha #JournalistProblems for sure 💯","Tue Nov 08 12:40:49 +0000 2016","Springfield, MA","null","Springfield, MA"
"TheyKnoDot","This is what's in store for Americas Series Finale... #Dotshotit #spazonsight #vsco #vscocam… https://t.co/exrYUYJUQe","Tue Nov 08 12:40:49 +0000 2016","NYC // Miami","[object Object]","Manhattan, NY"
"_lluukkeeyy_","Hopefully https://t.co/3LWwy7xLLr","Tue Nov 08 12:40:49 +0000 2016","Garden City, MI","null","Garden City, MI"
"pgapro1","@agrabow99 it's a red kinda of day! #Trump","Tue Nov 08 12:40:49 +0000 2016","#CardinalNation","null","Caseyville, IL"
"keithgw","NC! go vote. Don't count on FL to save us. #ElectionDay https://t.co/qckmBZ6FV1","Tue Nov 08 12:40:49 +0000 2016","Charlotte, NC","null","Charlotte, NC"
"ciaramarie415","I feel like explaining to people why Trump is bad, is like being in an infomercial. "Trumps a rapist! But WAIT! There's MORE"","Tue Nov 08 12:40:50 +0000 2016","Pittsburgh, PA","null","Baldwin, PA"
"Stephen7536","Dike bitches talking out there tongues⚠️","Tue Nov 08 12:40:50 +0000 2016","w a hœ?","null","Mississippi, USA"
"frankrebecca","In at 7:33 #withHer by 7:40 #virwinia @ George Washington Middle School https://t.co/i3zIY5msnN","Tue Nov 08 12:40:50 +0000 2016","The DMV","[object Object]","Alexandria, VA"
"LaceyLuce","@HillaryClinton I'm here, in line. Let's do this! #ElectionDay #ImWithHer","Tue Nov 08 12:40:50 +0000 2016","Columbus, Ohio","null","Columbus, OH"
"taaylordaayle","I'm truly so afraid for the election today .","Tue Nov 08 12:40:50 +0000 2016","null","null","Central Manitoulin, Ontario"
"ShaunBeacham","Vaira Vīķe-Freiberga, Latvia (1999) #ImWithHer","Tue Nov 08 12:40:50 +0000 2016","Boston, MA","null","Woburn, MA"
"ILUVBNARN","Don't let it get to you. It's not worth it. https://t.co/NcFL3sa22m","Tue Nov 08 12:40:50 +0000 2016","S San Francisco","null","San Mateo, CA"
"foobooz","Get your "I Voted" sticker and then get these deals!
 https://t.co/DZzOWvqmd0","Tue Nov 08 12:40:50 +0000 2016","Philadelphia, PA","null","Philadelphia, PA"
"AshtonGBeen","Don't take opportunities to get better for granted","Tue Nov 08 12:40:50 +0000 2016","Dewar, OK","null","Dewar, OK"
"Bryant_DeLeon14","@Regidark Harambee would be so proud.","Tue Nov 08 12:40:51 +0000 2016","Probably bangin' my gears","null","Dale City, VA"
"Username1209","Hearing Eric Trump talk about daddy fighting fraud just sort of tickled in the wrong way. #ElectionDay #Election2016 #horrorcomedy","Tue Nov 08 12:40:51 +0000 2016","Jacksonville Fl","null","World Golf Village, FL"
"LeftJabs","@daveweigel don't die today Dave...not worth it.","Tue Nov 08 12:40:51 +0000 2016","Greenville, SC","null","Dunean, SC"
"rudygcarp12","Yo many people have been fooled by the left and the media. https://t.co/9Y4KQ1K4D6","Tue Nov 08 12:40:51 +0000 2016","Phoenix, AZ","null","Thousand Oaks, CA"
"iamsuchadiva","Up and at em! Time to cast my ballot!","Tue Nov 08 12:40:51 +0000 2016","Headed to the TOP","null","Philadelphia, PA"
"aleighdeesun","hi my name is anna and i typed this with my eyes closed","Tue Nov 08 12:40:51 +0000 2016","bumfuck egypt ","null","Mississippi, USA"
"_Unicorn_Hunter","@space_baby_ @MrLukeJohnston why did you post this #madatyou","Tue Nov 08 12:40:51 +0000 2016","Memphis ","null","Memphis, TN"
"Casedouglas11","On repeat all day! https://t.co/RVNRa4ZYyM","Tue Nov 08 12:40:51 +0000 2016","NSB","null","New Smyrna Beach, FL"
"jdupont19711","This little girl is 9yrs old today. Where do the yrs go?? HAPPY BIRTHDAY EMMA LYNN. Love dad https://t.co/NqK0YaLINv","Tue Nov 08 12:40:51 +0000 2016","Massachusetts, USA","null","North Seekonk, MA"
"HiddlestonedZ","@hiddlestigress @KGullic I like her!","Tue Nov 08 12:40:51 +0000 2016","null","null","Kentucky, USA"
"TaraJMac","@BigDavesRants @Tim55081 I'd vote for Tim","Tue Nov 08 12:40:51 +0000 2016","Long Island, NY","null","Hicksville, NY"
"JoAnn_Bill","Wear red while #votingTrump ! 🇺🇸🇺🇸🇺🇸","Tue Nov 08 12:40:51 +0000 2016","Forsyth, MO","null","Forsyth, MO"
