This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Mon Nov 07 2016 20:37:53 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"sierra_lafaune","@Lsnell22 it's the best!!!!! Except I'm unmarried lmao","Tue Nov 08 01:37:52 +0000 2016","louisianimal⚜","null","Louisiana, USA"
"roman_encinas","She thought she was gonna win https://t.co/K0eEpmOUae","Tue Nov 08 01:37:52 +0000 2016","Whittier nd norwalk","null","Norwalk, CA"
"zara__lynn","one time my brother almost killed me in our backyard by choking me out, step dad walked out and saved my purple ass… https://t.co/uSWimEG5MT","Tue Nov 08 01:37:53 +0000 2016","Lafayette, LA","null","Lafayette, LA"
"vmccoy0721","@JenHumston SAME.","Tue Nov 08 01:37:53 +0000 2016","null","null","Beavercreek, OH"
"bryce_gomez","im SO fuckin w her","Tue Nov 08 01:37:53 +0000 2016","null","null","Vacaville, CA"
"ambrenlynn","@_Amber_Bee real life 😩","Tue Nov 08 01:37:53 +0000 2016","in line at Starbucks","null","New Britain, CT"
"BeautiifulRedd","I can't believe this is going to be the last season😭😒","Tue Nov 08 01:37:53 +0000 2016","Coffeeville, Ms✊","null","Mississippi, USA"
"KatharsisRavyn","THIS MEANS SO MUCH TO ME!!! 💜💜💜❤️❤️❤️💜💜💜 @ Belasco Theatre https://t.co/lxBc3jBIVE","Tue Nov 08 01:37:53 +0000 2016","NYC","[object Object]","Manhattan, NY"
"taylor2_ashley","The fact that I will have both of you by my side during this time 💕💕😘 @shelbbs07 @aceflyer2012","Tue Nov 08 01:37:53 +0000 2016","null","null","Bellview, FL"
"jenvanesaa","Me 24/7 https://t.co/hqnQBJrZsJ","Tue Nov 08 01:37:53 +0000 2016","null","null","Elmont, NY"
"TrendsChicago","#podestaemails34 is now trending in #Chicago https://t.co/pYi1gWkFUA","Tue Nov 08 01:37:53 +0000 2016","Chicago, USA","null","Chicago, IL"
"TheSimbaPikachu","@Hoodring need to up this chipotle catering","Tue Nov 08 01:37:53 +0000 2016","Somewhere Being Ugly","null","Kent, OH"
"rachh_stanley","I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/IjFJeaFTyD","Tue Nov 08 01:37:53 +0000 2016","null","null","Ohio, USA"
"k_schuknecht","brb crying. just finished the last episode of One Tree Hill 😭","Tue Nov 08 01:37:53 +0000 2016","null","null","Brandon, SD"
"12shots___","y'all be on some other shit fr","Tue Nov 08 01:37:53 +0000 2016","null","null","Muscle Shoals, AL"
"Jeanwall11","About to roll me a blunt with my list of regrets.","Tue Nov 08 01:37:53 +0000 2016","Medellín, Colombia","null","Florida, USA"
"devadill","what's the best way to start a conversation ?","Tue Nov 08 01:37:53 +0000 2016","null","null","West Chester, OH"
"sarah_kiefer","@belvargas_ miss you bel💗","Tue Nov 08 01:37:53 +0000 2016","Dearborn, MI","null","Dearborn, MI"
"WheatleyChase","@buffalobills I like that. #block","Tue Nov 08 01:37:53 +0000 2016","WhosMans, New Jersey","null","New Brunswick, NJ"
"TerryakaTLT","@blakeshelton @SundanceHead","Tue Nov 08 01:37:53 +0000 2016","null","null","Texas, USA"
"kruse03","Already thinking about all the mashed potatoes I'm gonna eat on Thanksgiving","Tue Nov 08 01:37:53 +0000 2016","null","null","Illinois, USA"
"Alexis6Tijerina","My legs are dead.😫","Tue Nov 08 01:37:53 +0000 2016","San Antonio, TX","null","San Antonio, TX"
"TaylorBurch42","Oh great. The bills got a touchdown. #cmonseattle","Tue Nov 08 01:37:53 +0000 2016","Cal State Monterey Bay ","null","California, USA"
"BBenn3","@NFL_Memes come on #johnnyfootball","Tue Nov 08 01:37:53 +0000 2016","small town USA","null","Florida, USA"
"BagBoyMikey","@KaylaDeeannBabe next Friday","Tue Nov 08 01:37:53 +0000 2016","Cove City, NC","null","North Carolina, USA"
"caralinee_","Can't relate https://t.co/TeowhqCqY4","Tue Nov 08 01:37:53 +0000 2016","probably in the bahamas","null","Forestbrook, SC"
"nyjeridarling","Izzy n I just started crying https://t.co/RrDBEP5fKL","Tue Nov 08 01:37:53 +0000 2016","Long Beach, CA","null","Long Beach, CA"
"PhotogBrit","They couldn't round up? 😒 https://t.co/IJubEAazWd","Tue Nov 08 01:37:53 +0000 2016","North Carolina ","null","Gastonia, NC"
"fr_christopher","@Chris_Hamby ha. Hmm.","Tue Nov 08 01:37:53 +0000 2016","Oshkosh, Wisconsin, USA","null","Oshkosh, WI"
"f0xinq","Wine pairs well with anything tbh","Tue Nov 08 01:37:53 +0000 2016","null","null","Fremont, MI"
