state,abbrv,total_disasters,Flood,Hurricane,Tornado,Earthquake,Fire,Severe_Storm,Severe_Ice_Storm,Drought,Freezing,Typhoon,Coastal_Storm,Snow,Dam_Levee_Break,Tsunami,Volcano,Terrorist,Mud_Landslide,Chemical,Other,colorval
Alabama,AL,617,0,289,0,0,4,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26629262
Alaska,AK,109,30,0,0,6,15,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047043591
Arizona,AZ,127,2,15,0,0,48,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0.054812257
Arkansas,AR,760,0,93,5,0,0,455,207,0,0,0,0,0,0,0,0,0,0,0,0,0.328010358
California,CA,375,11,58,0,6,211,69,0,0,16,0,0,0,1,3,0,0,0,0,0,0.161847216
Colorado,CO,307,48,0,0,0,124,16,0,0,0,0,64,55,0,0,0,0,0,0,0,0.132498921
Connecticut,CT,130,0,40,0,0,0,54,0,0,0,0,0,36,0,0,0,0,0,0,0,0.056107035
Delaware,DE,26,0,18,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0.011221407
Florida,FL,743,0,373,0,0,85,225,0,0,49,0,11,0,0,0,0,0,0,0,0,0.320673284
Georgia,GA,625,0,270,0,0,13,190,152,0,0,0,0,0,0,0,0,0,0,0,0,0.26974536
Hawaii,HI,36,2,0,0,4,14,12,0,0,0,0,0,0,0,3,1,0,0,0,0,0.015537333
Idaho,ID,94,10,44,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040569702
Illinois,IL,531,57,102,83,0,0,129,18,0,0,0,0,142,0,0,0,0,0,0,0,0.229175658
Indiana,IN,750,0,92,2,0,0,528,0,0,0,0,0,128,0,0,0,0,0,0,0,0.323694433
Iowa,IA,753,75,99,0,0,0,519,30,0,0,0,0,30,0,0,0,0,0,0,0,0.32498921
Kansas,KS,916,8,105,0,0,3,742,35,0,0,0,0,23,0,0,0,0,0,0,0,0.3953388
Kentucky,KY,1211,88,120,11,0,33,685,203,0,0,0,0,71,0,0,0,0,0,0,0,0.52265861
Louisiana,LA,815,55,594,0,0,11,63,8,0,0,0,35,8,0,0,0,0,0,0,41,0.35174795
Maine,ME,195,11,19,0,0,0,90,0,0,11,0,0,64,0,0,0,0,0,0,0,0.084160552
Maryland,MD,226,7,134,3,0,0,48,0,0,0,0,0,34,0,0,0,0,0,0,0,0.097539922
Massachusetts,MA,227,5,67,2,0,0,84,7,0,0,0,0,54,0,0,0,4,0,0,4,0.097971515
Michigan,MI,201,25,83,0,0,0,40,0,0,0,0,0,39,0,0,0,0,0,0,14,0.086750108
Minnesota,MN,511,212,87,13,0,6,192,0,0,0,0,0,0,0,0,0,0,0,0,1,0.220543807
Mississippi,MS,630,28,377,1,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271903323
Missouri,MO,1509,49,115,0,0,1,971,373,0,0,0,0,0,0,0,0,0,0,0,0,0.651273198
Montana,MT,277,30,56,0,0,105,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119551144
Nebraska,NE,707,72,93,6,0,7,521,8,0,0,0,0,0,0,0,0,0,0,0,0,0.305135952
